env_steps,episode,reward_mean,coverage_mean,ever_seen_fraction,percent_covered_at_least_once,maintained_fraction,uncovered_fraction,stale_fraction,active_agents,time_to_50_coverage,time_to_80_coverage,time_to_95_coverage,overlap_ratio_mean,collision_penalty_mean,min_inter_drone_dist,scan_efficiency_score
1080000,1,-648.262939453125,0.9989395546129375,0.9989395546129375,99.89395546129374,0.9925768822905621,0.0010604453870625141,0.007423117709437964,4.0,10.700000000000001,41.5,109.4,0.0,0.0,7.1546854972839355,0.0
1080000,2,-694.9632568359375,0.999647266313933,0.999647266313933,99.96472663139329,0.9887125220458554,0.0003527336860670305,0.011287477954144622,4.0,12.600000000000001,30.0,75.10000000000001,0.0,0.0,11.56342887878418,0.0
1080000,3,472.2373046875,1.0,1.0,100.0,0.9887518142235123,0.0,0.011248185776487663,4.0,12.100000000000001,37.800000000000004,99.5,0.0,0.0,10.783844947814941,0.0
1080000,4,-771.2488403320312,0.9996492458786391,0.9996492458786391,99.96492458786392,0.9887758681164504,0.00035075412136087447,0.011224131883549631,4.0,15.0,29.6,58.900000000000006,0.0,0.0,8.585251808166504,0.0
1080000,5,515.763916015625,1.0,1.0,100.0,0.979108635097493,0.0,0.020891364902506964,4.0,12.200000000000001,33.5,75.0,0.0,0.0,11.760947227478027,0.0
1080000,6,431.833740234375,1.0,1.0,100.0,0.9833922261484099,0.0,0.016607773851590107,4.0,8.700000000000001,37.4,80.2,0.0,0.0,8.282370567321777,0.0
1080000,7,435.73126220703125,1.0,1.0,100.0,0.9570046578287352,0.0,0.04299534217126478,4.0,24.6,56.2,68.4,0.0,0.017485857009887695,6.860113143920898,0.0
1080000,8,506.0679016113281,1.0,1.0,100.0,0.9582602595580498,0.0,0.041739740441950196,4.0,14.200000000000001,28.8,64.60000000000001,0.0,0.0,8.698841094970703,0.0
1080000,9,444.95758056640625,1.0,1.0,100.0,0.9924554183813443,0.0,0.0075445816186556925,4.0,13.4,26.900000000000002,93.60000000000001,0.0,0.0,10.564552307128906,0.0
1080000,10,384.7704772949219,1.0,1.0,100.0,0.995846313603323,0.0,0.004153686396677051,4.0,22.0,51.1,122.2,0.0,0.0,7.617194175720215,0.0
1080000,11,504.986328125,1.0,1.0,100.0,0.990528233151184,0.0,0.00947176684881603,4.0,14.200000000000001,28.200000000000003,52.5,0.0,0.0,12.268284797668457,0.0
1080000,12,-740.0144653320312,0.9996362313568571,0.9996362313568571,99.96362313568571,0.9909057839214259,0.00036376864314291435,0.009094216078574026,4.0,18.400000000000002,38.6,69.0,0.0,0.0,8.187697410583496,0.0
1080000,13,-746.3641357421875,0.9986096628432395,0.9986096628432395,99.86096628432395,0.9899200556134863,0.0013903371567605127,0.01007994438651373,4.0,15.4,42.900000000000006,85.9,0.0,0.0,9.547616958618164,0.0
1080000,14,524.41064453125,1.0,1.0,100.0,0.9880694143167028,0.0,0.01193058568329718,4.0,20.0,51.1,75.2,0.0,0.0,11.31189250946045,0.0
1080000,15,498.70013427734375,1.0,1.0,100.0,0.9804772234273319,0.0,0.019522776572668113,4.0,9.700000000000001,33.9,42.300000000000004,0.0,0.0,7.546298980712891,0.0
1080000,16,-673.943359375,0.9985855728429985,0.9985855728429985,99.85855728429985,0.9883309759547383,0.0014144271570014633,0.01166902404526167,4.0,12.100000000000001,55.1,91.5,0.0,0.23192590475082397,5.144592761993408,0.0
1080000,17,-865.5836181640625,0.9996531390912244,0.9996531390912244,99.96531390912244,0.9958376690946931,0.0003468609087755592,0.004162330905306972,4.0,15.600000000000001,32.9,56.2,0.0,0.07898026704788208,6.368157863616943,0.0
1080000,18,-622.39453125,0.999291031549096,0.999291031549096,99.9291031549096,0.9847571783055654,0.0007089684509039573,0.015242821694434599,4.0,11.700000000000001,37.5,103.9,0.0,0.0,9.086352348327637,0.0
1080000,19,514.0846557617188,1.0,1.0,100.0,0.9879559532002753,0.0,0.012044046799724708,4.0,12.700000000000001,34.300000000000004,99.7,0.0,0.0,10.207621574401855,0.0
1080000,20,473.0550537109375,1.0,1.0,100.0,0.9868648461804356,0.0,0.013135153819564467,4.0,10.100000000000001,39.7,64.7,0.0,0.0,9.93045425415039,0.0
1080000,21,455.57666015625,1.0,1.0,100.0,0.9967960128159488,0.0,0.003203987184051264,4.0,14.8,49.800000000000004,78.2,0.0,0.0,8.934667587280273,0.0
1080000,22,-794.6923828125,0.9975247524752475,0.9975247524752475,99.75247524752476,0.9893917963224894,0.0024752475247524774,0.010608203677510608,4.0,12.700000000000001,32.300000000000004,118.60000000000001,0.0,0.1443350911140442,5.8453192710876465,0.0
1080000,23,111.01203155517578,1.0,1.0,100.0,0.9950424929178471,0.0,0.004957507082152974,4.0,11.0,27.200000000000003,55.0,0.0,0.5163501501083374,3.2398576736450195,0.0
1080000,24,443.47540283203125,1.0,1.0,100.0,0.9724896836313618,0.0,0.027510316368638238,4.0,17.7,60.0,78.5,0.0,0.0,7.520216941833496,0.0
1080000,25,423.1756591796875,1.0,1.0,100.0,0.9830926382529059,0.0,0.016907361747094046,4.0,14.600000000000001,31.8,51.800000000000004,0.0,0.0,8.566911697387695,0.0
1080000,26,492.6742248535156,1.0,1.0,100.0,0.9850069735006973,0.0,0.01499302649930265,4.0,21.8,52.1,118.7,0.0,0.0,10.600024223327637,0.0
1080000,27,-289.44085693359375,0.9979094076655052,0.9979094076655052,99.79094076655052,0.9790940766550522,0.002090592334494823,0.020905923344947737,4.0,28.6,44.5,96.7,0.0,0.0,8.786574363708496,0.0
1080000,28,468.3442687988281,1.0,1.0,100.0,0.9706498951781971,0.0,0.029350104821802937,4.0,16.400000000000002,38.400000000000006,93.10000000000001,0.0,0.0,8.187135696411133,0.0
1080000,29,-869.0844116210938,0.9993004547044421,0.9993004547044421,99.93004547044421,0.9933543196922001,0.0006995452955579351,0.00664568030779993,4.0,13.4,61.2,101.30000000000001,0.0,0.0,10.26402759552002,0.0
1080000,30,512.1505126953125,1.0,1.0,100.0,0.9806201550387597,0.0,0.01937984496124031,4.0,12.5,33.9,89.7,0.0,0.0,10.386664390563965,0.0
1080000,31,399.02337646484375,1.0,1.0,100.0,0.9534313725490197,0.0,0.04656862745098039,4.0,18.8,44.0,111.0,0.0,0.0,8.138823509216309,0.0
1080000,32,483.6672668457031,1.0,1.0,100.0,0.9919664687390849,0.0,0.008033531260915125,4.0,27.200000000000003,47.5,107.4,0.0,0.0,8.908175468444824,0.0
1080000,33,-853.1778564453125,0.9992992291520673,0.9992992291520673,99.92992291520673,0.9971969166082691,0.0007007708479327412,0.002803083391730904,4.0,16.6,41.7,107.2,0.0,0.0,8.210747718811035,0.0
1080000,34,470.91632080078125,1.0,1.0,100.0,0.9985102420856611,0.0,0.0014897579143389199,4.0,15.8,39.800000000000004,91.30000000000001,0.0,0.0,9.097341537475586,0.0
1080000,35,-140.51596069335938,1.0,1.0,100.0,0.9849228611500701,0.0,0.015077138849929873,4.0,24.1,44.6,66.8,0.0,1.1195149421691895,2.4082651138305664,0.0
1080000,36,389.3955383300781,1.0,1.0,100.0,0.9879132598649129,0.0,0.012086740135087096,4.0,17.1,40.900000000000006,53.6,0.0,0.0,9.758740425109863,0.0
1080000,37,420.921875,1.0,1.0,100.0,0.9599570968895245,0.0,0.04004290311047551,4.0,11.200000000000001,30.5,68.10000000000001,0.0,0.0,7.265469074249268,0.0
1080000,38,-439.5623779296875,0.9989655172413793,0.9989655172413793,99.89655172413792,0.9972413793103448,0.001034482758620725,0.002758620689655172,4.0,22.8,47.800000000000004,76.2,0.0,0.0,12.088262557983398,0.0
1080000,39,418.923095703125,1.0,1.0,100.0,0.9972202918693537,0.0,0.002779708130646282,4.0,13.4,69.9,88.2,0.0,0.06057971715927124,6.51536226272583,0.0
1080000,40,-797.94921875,0.9992849481587415,0.9992849481587415,99.92849481587415,0.9907043260636396,0.0007150518412585294,0.009295673936360386,4.0,17.400000000000002,55.5,65.7,0.0,0.0,9.47982406616211,0.0
1080000,41,412.2505187988281,1.0,1.0,100.0,0.9848537005163511,0.0,0.015146299483648882,4.0,18.7,41.5,88.9,0.0,0.06783050298690796,6.457355976104736,0.0
1080000,42,-824.0350341796875,0.9988335925349923,0.9988335925349923,99.88335925349922,0.9669517884914464,0.001166407465007735,0.03304821150855365,4.0,14.600000000000001,28.3,59.1,0.0,0.0,16.210641860961914,0.0
1080000,43,464.62542724609375,1.0,1.0,100.0,0.9929002484913028,0.0,0.007099751508697196,4.0,13.100000000000001,30.5,65.60000000000001,0.0,0.0,9.238459587097168,0.0
1080000,44,333.6209716796875,1.0,1.0,100.0,0.9902574808629089,0.0,0.009742519137091163,4.0,12.200000000000001,58.2,114.30000000000001,0.03448275849223137,0.09672302007675171,6.226215839385986,0.0
1080000,45,544.609619140625,1.0,1.0,100.0,0.9981610886355278,0.0,0.0018389113644722325,4.0,18.1,53.1,112.0,0.0,0.0,11.266396522521973,0.0
1080000,46,-892.3404541015625,0.9986154378677743,0.9986154378677743,99.86154378677743,0.9913464866735895,0.0013845621322257085,0.008653513326410523,4.0,21.700000000000003,46.2,68.7,0.0,0.10662716627120972,6.146982669830322,0.0
1080000,47,-0.0698699951171875,1.0,1.0,100.0,0.9844398340248963,0.0,0.015560165975103735,4.0,14.700000000000001,30.0,100.9,0.0,0.7451106905937195,2.885605573654175,0.0
1080000,48,487.15997314453125,1.0,1.0,100.0,0.992,0.0,0.008,4.0,8.6,26.6,69.10000000000001,0.0,0.0,9.642755508422852,0.0
1080000,49,363.31536865234375,1.0,1.0,100.0,0.9847487001733102,0.0,0.015251299826689775,4.0,19.700000000000003,46.2,68.7,0.0,0.0192289836704731,4.660332679748535,0.0
1080000,50,472.89727783203125,1.0,1.0,100.0,0.9749470712773465,0.0,0.025052928722653495,4.0,16.8,48.0,65.60000000000001,0.0,0.0,8.846174240112305,0.0
1080000,51,485.14459228515625,1.0,1.0,100.0,0.9830985915492958,0.0,0.016901408450704224,4.0,13.9,43.800000000000004,56.5,0.0,0.0,9.168559074401855,0.0
1080000,52,346.9787902832031,1.0,1.0,100.0,0.9934096427332639,0.0,0.0065903572667360385,4.0,10.3,46.1,81.9,0.0,0.11575514078140259,6.073958873748779,0.0
1080000,53,400.83062744140625,1.0,1.0,100.0,0.9805149617258176,0.0,0.019485038274182326,4.0,27.8,59.400000000000006,80.0,0.0,0.0,9.71941089630127,0.0
1080000,54,482.99737548828125,1.0,1.0,100.0,0.989209885137487,0.0,0.010790114862513052,4.0,23.200000000000003,54.5,74.2,0.0,0.0,8.340662002563477,0.0
1080000,55,318.4019775390625,1.0,1.0,100.0,0.9757098871022921,0.0,0.024290112897707834,4.0,11.100000000000001,41.1,66.10000000000001,0.0,0.005365170072764158,4.820581436157227,0.0
1080000,56,475.8617248535156,1.0,1.0,100.0,0.9895420122610891,0.0,0.010457987738910927,4.0,13.4,35.4,44.6,0.0,0.0,7.626278400421143,0.0
1080000,57,429.4706115722656,1.0,1.0,100.0,0.9724065665385959,0.0,0.02759343346140412,4.0,15.9,35.7,85.80000000000001,0.0,0.0,8.92641544342041,0.0
1080000,58,436.37847900390625,1.0,1.0,100.0,0.9856392294220665,0.0,0.01436077057793345,4.0,20.6,46.1,72.0,0.0,0.0,9.561325073242188,0.0
1080000,59,418.8668212890625,1.0,1.0,100.0,0.9898209898209899,0.0,0.010179010179010179,4.0,18.6,35.5,94.80000000000001,0.0,0.0,7.60610818862915,0.0
1080000,60,456.36163330078125,1.0,1.0,100.0,0.9881123919308358,0.0,0.011887608069164265,4.0,15.4,37.6,79.2,0.0,0.0,7.015418529510498,0.0
1080000,61,333.9102783203125,1.0,1.0,100.0,0.9821178120617111,0.0,0.01788218793828892,4.0,25.200000000000003,60.400000000000006,84.60000000000001,0.0,0.12118738889694214,6.030500888824463,0.0
1080000,62,-807.5264892578125,0.9996519317786287,0.9996519317786287,99.96519317786287,0.9906021580229725,0.00034806822137134485,0.009397841977027498,4.0,10.0,43.0,81.5,0.0,0.0,7.18324089050293,0.0
1080000,63,-876.7015380859375,0.9993055555555556,0.9993055555555556,99.93055555555556,0.9951388888888889,0.000694444444444442,0.004861111111111111,4.0,14.200000000000001,31.700000000000003,80.2,0.0,0.0,11.594480514526367,0.0
1080000,64,-605.3318481445312,0.9992994746059545,0.9992994746059545,99.92994746059544,0.9954465849387041,0.0007005253940455258,0.004553415061295972,4.0,21.0,53.6,82.10000000000001,0.0,0.0,7.788983345031738,0.0
1080000,65,510.24853515625,1.0,1.0,100.0,0.9822916666666667,0.0,0.017708333333333333,4.0,13.700000000000001,51.800000000000004,64.60000000000001,0.0,0.0,12.158733367919922,0.0
1080000,66,498.5497131347656,1.0,1.0,100.0,0.9888734353268428,0.0,0.011126564673157162,4.0,18.400000000000002,62.2,77.9,0.0,0.0,7.764038562774658,0.0
1080000,67,464.69879150390625,1.0,1.0,100.0,0.9933309933309933,0.0,0.006669006669006669,4.0,18.5,46.5,70.10000000000001,0.0,0.0,9.302689552307129,0.0
1080000,68,341.9308166503906,1.0,1.0,100.0,0.9916696848967765,0.0,0.00833031510322347,4.0,19.3,51.7,84.60000000000001,0.0,0.14924746751785278,5.806020259857178,0.0
1080000,69,387.6314392089844,1.0,1.0,100.0,0.9943582510578279,0.0,0.005641748942172073,4.0,10.0,33.0,52.7,0.0,0.06864756345748901,6.450819492340088,0.0
1080000,70,283.359130859375,1.0,1.0,100.0,0.9913793103448276,0.0,0.008620689655172414,4.0,21.6,46.900000000000006,81.7,0.0,0.21942627429962158,5.244589805603027,0.0
1080000,71,443.3816833496094,1.0,1.0,100.0,0.9924889040628201,0.0,0.0075110959371799246,4.0,15.600000000000001,44.800000000000004,59.0,0.0,0.0,9.341915130615234,0.0
1080000,72,-654.6248779296875,0.9979296066252588,0.9979296066252588,99.79296066252587,0.9886128364389234,0.0020703933747412417,0.011387163561076604,4.0,12.9,32.0,100.4,0.0,0.0,10.169175148010254,0.0
1080000,73,-909.133544921875,0.999647266313933,0.999647266313933,99.96472663139329,0.982363315696649,0.0003527336860670305,0.01763668430335097,4.0,12.200000000000001,28.8,69.4,0.0,0.0,8.06432056427002,0.0
1080000,74,401.2340393066406,1.0,1.0,100.0,0.9964234620886981,0.0,0.00357653791130186,4.0,10.100000000000001,27.8,72.3,0.0,0.0,10.26993179321289,0.0
1080000,75,447.90966796875,1.0,1.0,100.0,0.9888190076869322,0.0,0.011180992313067784,4.0,16.5,35.2,87.7,0.0,0.0,8.288138389587402,0.0
1080000,76,494.64752197265625,1.0,1.0,100.0,0.9706198495163024,0.0,0.0293801504836976,4.0,24.0,37.6,90.60000000000001,0.0,0.0,10.486291885375977,0.0
