env_steps,policy_loss,value_loss,entropy,frontier_aux_loss,corner_aux_loss,marginal_aux_loss,territorial_aux_loss,total_loss
153600,-0.006324474147210518,1086580879.9288888,2.20860243373447,0.022198978804258838,0.037235298371977275,0.0885618748764197,0.030141354012820455,1086580880.1007018
307200,-0.00732973768401684,434051359.9288889,2.2798312685224746,0.024904128449658555,0.04634888959841596,0.23410037269194922,0.08892160036497646,434051360.3158341
460800,-0.0058473446008024945,169896391.18222222,2.334301937421163,0.03668674230575562,0.12333239653044277,0.4331647236479653,0.1412792933649487,169896391.910838
614400,-0.004332131538022723,140370952.3911111,2.3702622010972765,0.05292676482763555,0.15328315691815483,0.5371408242649502,0.1632933708694246,140370953.2934231
768000,-0.0026003852928988633,133164647.64444445,2.4104074642393325,0.07435174132386843,0.1703882799877061,0.6216096278031668,0.17926224579413733,133164648.68745595
921600,-0.00123507061197112,56661578.10666667,2.4453043916490342,0.08523116317060259,0.16637260960208045,0.6286426598495908,0.1615431949827406,56661579.14722123
1075200,-0.0014162028601600065,30682686.94888889,2.4832121658325197,0.07229535844590929,0.11238721531298425,0.5672297320100996,0.1294678345984883,30682687.82885283
1228800,-0.003414403643562562,16778262.49111111,2.5281375153859456,0.015545912788559994,0.0967169349723392,0.12699570924043654,0.09292440586619907,16778262.819879673
1382400,-0.003223047370298041,133849047.23555556,2.5642421764797634,0.18630150996976427,0.18985077460606892,0.42839736892117397,0.19688200001915296,133849048.23376416
1536000,-0.0033935314344449175,48452843.013333336,2.5940627336502073,0.09615586027503013,0.1436292423142327,0.33796530928876667,0.1615391985906495,48452843.749229416
1689600,-0.0032011480818295644,28617679.04888889,2.624087448649936,0.08700363016790814,0.15461186465289858,0.22336132678720685,0.16024606578879885,28617679.670910623
1843200,-0.004034859048616555,19750347.606666666,2.64999071598053,0.08132172553075684,0.11163281558288468,0.27200635214646657,0.13009446750084558,19750348.19768717
1996800,-0.004994419909910196,13330866.795555556,2.6922150325775145,0.06388359794186221,0.07507856941885419,0.3147417215506236,0.09815076879329152,13330867.342415793
2150400,-0.005122437709425058,6777264.454444445,2.741353289816115,0.05687085999382867,0.05716488476428721,0.33298685352007545,0.07960611979166667,6777264.975950725
2304000,-0.005037057290060653,12349614.112222223,2.803569129837884,0.011962497350242404,0.06723005051414171,0.4713691608938906,0.08380268411503898,12349614.741549555
2457600,-0.007484094125684351,123269154.08,2.851322718196445,0.0352897095017963,0.0787786058915986,0.35053685877058244,0.12359946952925788,123269154.66072054
2500200,-0.014033623497992281,48285534.15873016,2.863645421134101,0.06905557942532357,0.10218194263085487,0.5600635187020377,0.16585424317727013,48285535.041851826
