env_steps,policy_loss,value_loss,entropy,frontier_aux_loss,corner_aux_loss,marginal_aux_loss,territorial_aux_loss,total_loss
153600,-0.006186715927906334,975835639.8933333,2.209351907836066,0.02129347777718471,0.03684087024173803,0.08719392153951856,0.03290487120962805,975835640.0653797
307200,-0.0065934020831870535,446981516.37333333,2.280837601555718,0.023596153317226302,0.0427803983580735,0.23766840911573833,0.07974407356646326,446981516.75052893
460800,-0.005311274730289976,187971989.22666666,2.336486333211263,0.034682314751876726,0.09528246581554413,0.4203197188509835,0.1353623725473881,187971989.90700227
614400,-0.0037324291079615553,135642725.9377778,2.384278104570177,0.04589435750411616,0.11517255503270361,0.508693015244272,0.15607432653506598,135642726.7598796
768000,-0.002920001729701956,136415527.4488889,2.4192866574393377,0.06977482580476337,0.13884192529651854,0.6032669840918647,0.17849632892343734,136415528.43634897
921600,-0.002630043112051984,76990171.94666667,2.457330250740051,0.08565945396820704,0.16590707616673575,0.6456478346718683,0.17766925450828341,76990173.01892026
1075200,-0.00201393888073249,48479845.2,2.490485281944275,0.0884996813038985,0.13397861326734226,0.6288908211390177,0.1649697267015775,48479846.2143249
1228800,-0.003286251697378854,14771410.275555555,2.535798571374681,0.012455656375322076,0.06961447121368514,0.1310516415370835,0.09303852561447355,14771410.5784296
1382400,-0.004635248052266737,100444947.64444445,2.574229024781121,0.1858290083706379,0.1293851852748129,0.3732008035315408,0.16576481656895745,100444948.49398902
1536000,-0.0038850888433969682,83327436.77333333,2.5985875966813827,0.08486157964501116,0.08735404360625479,0.3904489325152503,0.14388150999943417,83327437.47599432
1689600,-0.003876568771277865,45706177.48444445,2.6171515093909368,0.10790273919701576,0.08014290653996997,0.23990362773338952,0.16492318835523392,45706178.07344033
1843200,-0.0043908923101197515,31507668.0,2.6404304610358342,0.10562200056182014,0.06786977175209258,0.23071269820133844,0.14717414733436374,31507668.546987727
1996800,-0.005110704938156737,24328593.48888889,2.6667322317759194,0.0753846584757169,0.058921795437733335,0.25658017661836413,0.12019872218370438,24328593.994863532
2150400,-0.00538893850106332,18569526.16222222,2.7046805095672606,0.06386357989576127,0.049578807453314465,0.29312961975733437,0.09678535545865695,18569526.660190646
2304000,-0.006902327890404397,13818663.942222223,2.7491739320755006,0.013459423248552614,0.09879495124022165,0.6259335308935907,0.09227519732382562,13818664.765782999
2457600,-0.006583871692160351,104735010.84444444,2.7785665776994493,0.027786539180411234,0.07365636439787017,0.31883241520987615,0.11790957391262054,104735011.37604547
2500200,-0.014284381522826614,53280944.41269841,2.7886070031968373,0.047468262621098094,0.07874411380007154,0.4608374566785873,0.14131427461665774,53280945.12677813
