env_steps,policy_loss,value_loss,entropy,frontier_aux_loss,corner_aux_loss,marginal_aux_loss,territorial_aux_loss,total_loss
153600,-0.006323912233735124,1382610431.431111,2.2071820539898344,0.02239137365689708,0.04081614734397994,0.08971158961455027,0.03128136083483696,1382610431.6089883
307200,-0.008005506191920074,469197134.08,2.280285791291131,0.02190260651624865,0.04281531363311741,0.2465343623691135,0.09242189385824734,469197134.4756686
460800,-0.006777385324757132,172697965.65333334,2.3404223924212983,0.033517141818172405,0.09384877302580409,0.42500007543298934,0.1385617702205976,172697966.33748373
614400,-0.005127845640915136,139795717.15555555,2.391051339043511,0.0496150448338853,0.11761389326718119,0.5344181966781616,0.16427530464198853,139795718.01635015
768000,-0.0021632356046595506,102509851.49333334,2.4370192019144694,0.07309505952729119,0.14607009434037738,0.6240717630916172,0.18359252187940808,102509852.51799954
921600,-0.0016278959200200108,54884700.8,2.4751662153667873,0.08419006652302212,0.1689787322945065,0.6377461236053042,0.1740854298406177,54884701.86337245
1075200,-0.0015626571922459536,28799835.226666667,2.512634563975864,0.08388996510042085,0.14984371344248454,0.5956055968337589,0.14386850704749427,28799836.198311787
1228800,-0.004756193574155784,17687763.917777777,2.561621413760715,0.015541556562400527,0.09670605253842142,0.13188017000754673,0.09093292822440466,17687764.24808229
1382400,-0.004184502456854615,123643013.92,2.597402851846483,0.2805606299969885,0.18757352845536338,0.3891250077221129,0.12313179125388464,123643014.89620647
1536000,-0.0033213292062282563,63669641.12,2.6200610468122694,0.10778205464283626,0.10413415690263113,0.4641551770435439,0.16462356474664477,63669641.957373634
1689600,-0.0038743963708273237,29726524.408888888,2.6461862659454347,0.15047258622116513,0.13793266187111536,0.21332740863164265,0.1479558100634151,29726525.054702956
1843200,-0.004649346982542839,15907329.637777777,2.675697543356154,0.08466452442937428,0.12906987988286547,0.2582331511047151,0.09832910825808842,15907330.203425094
1996800,-0.005723129398086005,10089295.49888889,2.7155269951290553,0.062261533588171006,0.08718609366152022,0.2818408739566803,0.07684482186204858,10089296.00129908
2150400,-0.006520403388163282,6626157.098333334,2.769151136080424,0.062459325815240545,0.08408548118339644,0.28661513421270585,0.07093442597322994,6626157.595907297
2304000,-0.005519543141126633,13476400.24111111,2.829725997183058,0.013883904771258433,0.07311782555447685,0.6990553392304315,0.08535381560524305,13476401.107002454
2457600,-0.008015909941556553,118735718.45333333,2.8757680357827082,0.035680427211854195,0.07527932234936291,0.47202507350179884,0.12955841390622988,118735719.15786065
2500200,-0.014987099220946667,54182016.666666664,2.8892801035018194,0.06625060598173785,0.0849245913799793,0.28094167297794703,0.17602497197332836,54182017.259821415
